Date,GN,SP 500
7/19/2022,"241,7","3818,8"
7/18/2022,"239,4","3854,43"
7/15/2022,"236,2","3899,38"
7/14/2022,"226,3","3902,62"
7/13/2022,"230,6","3845,08"
7/12/2022,236,"3831,39"
7/11/2022,"242,4","3825,33"
7/8/2022,"253,2","3785,38"
7/7/2022,"244,9","3818,83"
7/6/2022,"242,1","3821,55"
7/5/2022,"245,1","3900,11"
7/4/2022,"250,7","3911,74"
7/1/2022,259,"3795,73"
6/30/2022,"248,7","3759,89"
6/29/2022,250,"3764,79"
6/28/2022,"250,4","3674,84"
6/27/2022,"243,7","3666,77"
6/24/2022,"244,2","3789,99"
6/23/2022,"225,9","3735,48"
6/22/2022,"224,4","3749,63"
6/21/2022,"223,1","3900,86"
6/20/2022,"223,6","4017,82"
6/17/2022,"218,2","4115,77"
6/16/2022,"221,6","4160,68"
6/15/2022,"240,1","4121,43"
6/14/2022,"237,1","4108,54"
6/13/2022,"246,3","4176,82"
6/10/2022,"251,5","4101,23"
6/9/2022,"263,5","4132,15"
6/8/2022,"269,6","4158,24"
6/7/2022,"268,5","4057,84"
6/3/2022,"265,7","3978,73"
6/2/2022,"265,5","3941,48"
6/1/2022,"266,9","3973,75"
5/31/2022,"273,5","3901,36"
5/30/2022,"286,2","3900,79"
5/25/2022,"256,1","3923,68"
5/24/2022,"258,1","4088,85"
5/23/2022,"232,2","4008,01"
5/20/2022,"238,5","4023,89"
5/19/2022,"231,6","3930,08"
5/18/2022,"232,1","3935,18"
5/17/2022,"246,3","4001,05"
5/16/2022,"243,3","3991,24"
5/12/2022,"226,8","4123,34"
5/11/2022,"223,9","4146,87"
5/10/2022,"221,8","4300,17"
5/9/2022,"216,9","4175,48"
5/6/2022,"229,5","4155,38"
5/5/2022,"236,3","4131,93"
5/4/2022,"256,5","4287,5"
5/3/2022,"260,9","4183,96"
5/2/2022,"264,2","4175,2"
4/29/2022,"268,8","4296,12"
4/28/2022,"265,8","4271,78"
4/27/2022,266,"4393,66"
4/26/2022,"268,9","4459,45"
4/25/2022,"275,6","4462,21"
4/22/2022,"274,5","4391,69"
4/21/2022,"284,9","4392,59"
4/20/2022,"283,6","4446,59"
4/19/2022,"279,5","4397,45"
4/13/2022,"276,3","4412,53"
4/12/2022,280,"4488,28"
4/11/2022,"287,2","4500,21"
4/8/2022,"292,8","4481,15"
4/7/2022,"297,3","4525,12"
4/6/2022,"295,1","4582,64"
4/5/2022,"319,7","4545,86"
4/4/2022,327,"4530,41"
4/1/2022,330,"4602,45"
3/31/2022,"332,7","4631,6"
3/30/2022,"332,7","4575,52"
3/29/2022,"336,1","4543,06"
3/28/2022,"327,2","4520,16"
3/25/2022,"308,1","4456,24"
3/24/2022,"314,8","4511,61"
3/23/2022,315,"4461,18"
3/22/2022,"328,9","4463,12"
3/21/2022,"334,8","4411,67"
3/18/2022,333,"4357,86"
3/17/2022,332,"4262,45"
3/16/2022,"337,3","4173,11"
3/15/2022,"312,5","4204,31"
3/14/2022,311,"4259,52"
3/11/2022,"302,8","4277,88"
3/10/2022,"295,5","4170,7"
3/9/2022,"308,2","4201,09"
3/8/2022,"298,5","4328,87"
3/7/2022,"314,5","4363,49"
3/4/2022,324,"4386,54"
3/3/2022,"333,7","4306,26"
3/2/2022,"329,4","4373,94"
3/1/2022,"338,6","4384,65"
2/28/2022,"350,5","4288,7"
2/25/2022,"331,1","4225,5"
2/24/2022,"328,7","4304,76"
2/23/2022,"331,6","4348,87"
2/22/2022,"338,6","4380,26"
2/21/2022,"331,2","4475,01"
2/18/2022,"332,9","4471,07"
2/17/2022,"351,3","4401,67"
2/16/2022,"371,8","4418,64"
2/15/2022,"367,6","4504,08"
2/14/2022,366,"4587,18"
2/11/2022,"381,1","4521,54"
2/10/2022,375,"4483,87"
2/9/2022,"376,8","4500,53"
2/8/2022,363,"4477,44"
2/7/2022,"379,2","4589,38"
2/4/2022,388,"4546,54"
2/3/2022,"383,8","4515,55"
2/2/2022,"403,8","4431,85"
2/1/2022,"396,5","4326,51"
1/31/2022,"397,6","4349,93"
1/28/2022,"386,4","4356,45"
1/27/2022,395,"4410,13"
1/26/2022,"395,3","4397,94"
1/25/2022,"373,2","4482,73"
1/24/2022,368,"4532,76"
1/21/2022,"396,4","4577,11"
1/20/2022,395,"4662,85"
1/19/2022,389,"4659,03"
1/18/2022,"381,6","4726,35"
1/17/2022,394,"4713,07"
1/14/2022,"389,8","4670,29"
1/13/2022,"387,2","4677,03"
1/12/2022,"392,5","4696,05"
1/11/2022,"391,9","4700,58"
1/10/2022,"376,3","4793,54"
1/7/2022,391,"4796,56"
1/6/2022,"395,8","4766,18"
1/5/2022,"414,7","4778,73"
1/4/2022,"410,8","4793,06"
1/3/2022,"415,8","4786,35"
12/30/2021,"411,3","4791,19"
12/29/2021,"412,4","4725,79"
